region,disasterNumber,sandyDisaster,disasterType,incidentType,declarationDate,stateAbbreviation,state,county,applicantName,pnpStatus,damageCategoryCode,federalShareObligated,dateObligated,pwNumber,projectTitle,versionNumber,id
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Statewide,"NYSARC, INC NYC CHAPTER (ARC)",1,B - Protective Measures,18139.50,2024-02-09T21:30:06.000Z,3140,733645  - 90% - Contract Cleaning 7/7/22 - 2/17/23,0,2270c63f-8e93-4dcf-8ff9-a066b4e2fe29
2,4723,0,DR,Severe Storm,2023-07-22T00:00:00.000Z,NY,New York,Statewide,NYS - THRUWAY AUTHORITY,0,Z - State Management,1119.82,2024-02-13T12:59:55.000Z,34,739690 - Management Costs,0,0a9d80fc-fc51-4b50-a84f-e575637efdcd
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Cayuga,CATO-MERIDIAN CENTRAL SCHOOL,0,Z - State Management,1970.35,2024-02-15T19:56:03.000Z,3207,715178 - Management Costs,0,d93388c5-02f3-40c7-93c0-9c04025b125f
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,CATHOLIC HEALTH SYSTEM,1,B - Protective Measures,25631.39,2024-02-13T17:54:26.000Z,3191,708625 - 7-2-2022 90% Cost Share: COVID 19: Disinfecting Wipes 1-1-2023 to 5-11-2023,0,30ab898f-a6bc-405c-854f-ba405dc83d2c
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,ERIE COUNTY MEDICAL CTR,0,B - Protective Measures,609480.00,2024-02-13T17:51:39.000Z,3124,"727577 - COVID19 July 2, 2022 - May 11, 2023 Employee Testing Reimbursement",0,6152f7ac-5197-49f8-b5f9-5e2e5c5aac32
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,"BROTHERS OF MERCY SACRED HEART HOME, INC",1,Z - State Management,10881.64,2024-02-15T19:58:02.000Z,3265,742623 - Management Costs,0,8020a480-135a-449e-bbf1-cbcad9e4ded9
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,CATHOLIC HEALTH SYSTEM,1,B - Protective Measures,192282.98,2024-02-13T17:54:26.000Z,3190,708546 - 7-2-2022 90% Cost Share: COVID-19: Staffing - Agency 1-1-2023 thru 5-11-2023,0,e075a0dc-b2a9-45f8-82ff-2101525f03e4
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,BROTHERS OF MERCY NURSING CTR,1,Z - State Management,45292.19,2024-02-15T19:56:04.000Z,3234,741722 - Management Costs,0,0095246e-c1e9-48d8-80e9-c0af6f61724f
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,HERITAGE CENTERS,1,B - Protective Measures,261624.61,2024-02-13T18:03:03.000Z,3261,147016 - COVID19 Project 1-Arc Erie County,0,c3dbd294-62f8-45ba-b959-0f22d52a4a68
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Erie,MOUNT ST. MARY ACADEMY,1,Z - State Management,4464.16,2024-02-15T19:56:04.000Z,3231,728706 - Management Costs,0,972b6d89-926a-4e13-a5aa-e1b7088c50c3
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,HAMBURG,0,B - Protective Measures,284474.72,2024-02-15T17:41:12.000Z,134,719669 - Snow removal and associated costs,0,efc8ccdd-fc5b-45a0-ad00-cbb8c3f127fb
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,SUNY AT BUFFALO,0,B - Protective Measures,13339.93,2024-02-13T13:10:44.000Z,166,720860 - SUNY Buffalo University Police Category B,0,592f2c30-3ef4-4a1e-9a01-ae386f94420b
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,AMHERST (TOWN OF),0,B - Protective Measures,240080.74,2024-02-13T13:09:40.000Z,152,718749 - Snow Removal and Associated Costs,0,3618b114-2503-4b3b-9d88-c3a92b7ea573
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,0,C - Roads and Bridges,4615.20,2024-02-15T17:42:26.000Z,179,725613 - Light Poles/Banners,0,aee14eb6-bcbb-47d9-85d7-a81a8594d992
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,AMHERST (TOWN OF),0,C - Roads and Bridges,93783.30,2024-02-13T13:10:06.000Z,175,"718750 - Curbing, Sidewalks, Driveway Apron Damage",0,62580af3-23db-4ef7-bf59-9d308d30c352
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,LANCASTER (TOWN OF),0,B - Protective Measures,113856.41,2024-02-15T17:40:52.000Z,165,722295 - Snow Removal and Associated Cost,0,fcbc6746-c53d-4abe-8d49-b57232ca498f
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Erie,BUFFALO,0,C - Roads and Bridges,6109.26,2024-02-13T16:29:16.000Z,172,729316 - PD Pole Light/Camera,0,224996bb-3292-4176-b192-4d186acf79ca
6,4416,0,DR,Flood,2019-02-25T00:00:00.000Z,TX,Texas,Hill,HILL (COUNTY),0,Z - State Management,163834.36,2024-02-13T22:47:17.000Z,500,121830 - Management Costs,1,16c5a82f-a686-419f-a329-61a5bdc4294e
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Kings,MENORAH HOME & HOSPITAL FOR THE AGED & INFIRM,1,B - Protective Measures,102936.96,2024-02-13T17:54:26.000Z,3209,736878 - 7/02/2022 90% Menorah PPE,0,470a8d0f-b681-4fd5-b684-55ed89804698
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Kings,YESHIVA SHAARE TORAH BOYS SCHL,1,B - Protective Measures,226822.03,2024-02-09T21:35:02.000Z,3174,710920 - Additional Temporary Staff,0,3c69e5e6-1148-4741-b8c1-11383d3e6cda
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Kings,MENORAH HOME & HOSPITAL FOR THE AGED & INFIRM,1,B - Protective Measures,4185.00,2024-02-13T17:54:26.000Z,3205,731628 - 7/2/2022 90% Cost Share - Menorah COVID-19 Cleaning and Disinfecting,0,66ae9a2c-41d5-4018-a705-e1391b54852e
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Orange,MAYBROOK,0,B - Protective Measures,11568.97,2024-02-15T19:53:52.000Z,3201,687280 - Village Wide Expenses,0,67078550-4610-4e58-88bf-0e6d9aca15eb
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Orange,MONTGOMERY (TOWN OF),0,B - Protective Measures,354220.14,2024-02-09T21:15:33.000Z,2547,168704 - PPE Expenses,0,ce8db2dd-16c3-4087-946e-fca98bd511a0
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Orange,WALLKILL (TOWN OF),0,Z - State Management,1181.77,2024-02-13T17:58:56.000Z,3248,742907 - Management Costs,0,9e081682-dece-48b2-811f-9cf2ef38f661
2,4723,0,DR,Severe Storm,2023-07-22T00:00:00.000Z,NY,New York,Orange,CHURCH OF THE HOLY INNOCENTS,1,B - Protective Measures,122161.71,2024-02-13T13:04:00.000Z,72,732389 - EPM-Holy Innocents Church,0,0ec0b7db-1f74-4534-9955-8fae6595436b
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,BLUE POINT FIRE DEPT,0,B - Protective Measures,7751.35,2024-02-13T18:00:37.000Z,3233,"710327 - Bl. Pt. FD Covid 19 Expenses, Supplemental",0,0e2ebfb2-f2e1-4293-a042-e81c62e65eb8
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,SHINNECOCK INDIAN RESERVATION,0,B - Protective Measures,9775.00,2024-02-09T21:18:47.000Z,3014,674639 - COVID-19 Quarantine Barrier,0,5b9df753-b63e-4d84-9c81-8cfae4ecaf7c
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,SHINNECOCK INDIAN RESERVATION,0,B - Protective Measures,20649.36,2024-02-09T21:18:47.000Z,3029,677313 - COVID PPE and Food Distribution,0,39eef2f2-4e62-4e29-bcd1-6c5fb53fe6c6
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,SOUTHAMPTON (TOWN OF),0,B - Protective Measures,150000.00,2024-02-09T21:15:32.000Z,2537,685547 - Nutrition Assistance,0,f9b972b6-7f03-4869-989e-1b54a4adabb6
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,GURWIN JEWISH GERIATIRC CENTER,1,B - Protective Measures,44269.54,2024-02-13T18:00:37.000Z,3257,711328 - #19 Dietary,0,f623cc02-576c-4a2e-ac29-c99e1176f183
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,GURWIN JEWISH GERIATIRC CENTER,1,B - Protective Measures,98413.16,2024-02-13T17:57:35.000Z,3229,734882 - #20 PPE 90% Cost Share (7.11.2022-5.11.2023),0,dd431d09-d641-415f-bd85-6a104efd6d91
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,GURWIN JEWISH GERIATIRC CENTER,1,B - Protective Measures,35204.40,2024-02-15T19:49:06.000Z,2552,184617 - #11 Housekeeping - w/ First Appeal,1,137d964a-02e0-401b-a7e2-8fc359314cf3
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,FARMINGVILLE FIRE DISTRICT,0,B - Protective Measures,43852.08,2024-02-09T21:15:33.000Z,2119,240564 - Covid-19,0,989855d8-0f2b-412b-9dc0-a303dd933de6
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Suffolk,SHINNECOCK INDIAN RESERVATION,0,B - Protective Measures,12326.75,2024-02-09T21:18:47.000Z,3025,674684 - COVID-19 Food Distribution Center and Tent,0,352589de-b437-4149-a481-f237abde17d3
2,4694,0,DR,Snowstorm,2023-03-15T00:00:00.000Z,NY,New York,Suffolk,HUNTINGTON (TOWN OF),0,Z - State Management,1954.38,2024-02-15T17:40:15.000Z,150,741653 - Management Costs,0,38e015bb-811e-41d3-bfe8-da7634b12f82
2,4480,0,DR,Biological,2020-03-20T00:00:00.000Z,NY,New York,Wayne,MACEDON (TOWN OF),0,B - Protective Measures,23599.59,2024-02-09T21:33:13.000Z,3159,174651 - Macedon Town of,0,8bd8e171-4cd3-4e16-91a0-f1098c5a6300
6,4332,0,DR,Hurricane,2017-08-25T00:00:00.000Z,TX,Texas,Victoria,VICTORIA INDEPENDENT SCHL DIST,0,Z - State Management,-334958.03,2024-02-13T21:14:21.000Z,5713,35751 - Victoria ISD PAAP - DAC Pilot,4,d0f58516-8533-40f9-8fbc-f3e5615c44c2
6,4332,0,DR,Hurricane,2017-08-25T00:00:00.000Z,TX,Texas,Victoria,VICTORIA INDEPENDENT SCHL DIST,0,E - Public Buildings,516.74,2024-02-12T18:17:58.000Z,6119,3966 - Patti Welder Middle School,1,1e7b8414-e932-4471-83de-23a91b66a2d3
6,4332,0,DR,Hurricane,2017-08-25T00:00:00.000Z,TX,Texas,Victoria,VICTORIA INDEPENDENT SCHL DIST,0,E - Public Buildings,-16533.00,2024-02-13T19:01:03.000Z,3221,5373 - Victoria ISD Administration Building,1,fdc1f4e7-9198-45af-9b79-c19280cd58bf
6,4332,0,DR,Hurricane,2017-08-25T00:00:00.000Z,TX,Texas,Victoria,VICTORIA INDEPENDENT SCHL DIST,0,E - Public Buildings,-231459.55,2024-02-14T20:45:01.000Z,3695,0003980 - Transportation Department,1,6d691607-4d70-42aa-83f3-3cd3c0ce6c48
6,4721,0,DR,Severe Storm,2023-07-19T00:00:00.000Z,OK,Oklahoma,Cotton,WALTERS,0,F - Public Utilities,67160.58,2024-02-15T14:52:13.000Z,15,736458 - Electric Poles,0,edc43460-525b-4d9c-9236-0908aafb6edc
10,4499,0,DR,Biological,2020-03-28T00:00:00.000Z,OR,Oregon,Clackamas,LEGACY MERIDIAN PARK HOSPITAL,1,B - Protective Measures,108473.40,2024-02-09T18:58:08.000Z,1147,721857 - COVID-19 Uninsured Medical Costs 7/2/22 - 5/11/23,0,5de2a6fc-1ac4-44e9-b84f-0c8f309e632c
10,4499,0,DR,Biological,2020-03-28T00:00:00.000Z,OR,Oregon,Clackamas,KAISER FOUNDATION HOSPITALS,1,B - Protective Measures,4450689.05,2024-02-12T18:22:55.000Z,843,686110 - KFH OR March 2020 - June 2022 COVID Contract Labor,0,6121ad84-79ed-4acc-b5c5-57ff523d3e44
10,4499,0,DR,Biological,2020-03-28T00:00:00.000Z,OR,Oregon,Clackamas,KAISER FOUNDATION HOSPITALS,1,B - Protective Measures,118688.10,2024-02-09T18:58:08.000Z,798,681588 - KFH OR 2020 - 2022 Centrally Procured PPE Project,1,8b048403-5572-4173-bc1c-4e94fb38610e
9,4699,0,DR,Severe Storm,2023-04-03T00:00:00.000Z,CA,California,Fresno,MENDOTA,0,D - Water Control Facilities,18240.00,2024-02-15T14:52:42.000Z,214,726321 - Sewer Treatment - South Area Evap,0,5faa44e1-bae5-480a-ba1b-0a5ec1671c3b
9,4699,0,DR,Severe Storm,2023-04-03T00:00:00.000Z,CA,California,Fresno,ORANGE COVE,0,D - Water Control Facilities,64802.34,2024-02-10T00:15:05.000Z,190,730288 - Orange Cove Building and Equipment Damages,0,42349c10-f143-4c01-aff8-ed35d3d47fee
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Bernardino,LOMA LINDA UNIVERSITY MEDICAL CENTER,1,B - Protective Measures,4119375.12,2024-02-15T18:42:50.000Z,3257,725806 - COVID-19 Testing - 7/2/2022 through 5/11/2023,0,9ddb7fac-2489-4113-b98b-b13654df227c
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICES,0,E - Public Buildings,9223.20,2024-02-14T01:17:36.000Z,140,730377 - Inalahan Senior Citizens Center & Adult Day Care Center,0,09b007bf-bbae-4fab-95a5-f7dda9acf6fa
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,MAYORS' COUNCIL OF GUAM,0,A - Debris Removal,13262.40,2024-02-14T01:12:20.000Z,153,729229 - Debris from Sinajana,0,e2e17032-921e-4b0e-ab5b-d297409c176c
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICES,0,E - Public Buildings,67125.11,2024-02-14T01:17:36.000Z,148,730373 - Northern Region Community Center,0,7fecde65-c97f-4eb3-8282-b9e557b10e80
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF PUBLIC WORKS,0,E - Public Buildings,42800.56,2024-02-14T00:53:39.000Z,166,735597 - Inarajan Satellite Bus Station,0,9907f291-76a5-4a54-af1c-7e3dadd07ae4
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICES,0,E - Public Buildings,23634.00,2024-02-14T01:17:36.000Z,145,730378 - Adult Day Care - North & Guma Serenidad,0,b2e99c72-3902-4092-9ea1-9af2701a3b16
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,MAYORS' COUNCIL OF GUAM,0,G - Recreational or Other,86999.01,2024-02-14T01:10:39.000Z,126,729457 - Astumbo Baseball and Basketball Parks,0,df699f58-3640-40e5-8571-58bd1a684730
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF PUBLIC WORKS,0,E - Public Buildings,35309.78,2024-02-14T01:18:05.000Z,161,735596 - Dededo Coral Pit Facilities,0,b425d457-10bb-4730-a19a-4aa142e25683
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Statewide,DEPARTMENT OF CHAMORRO AFFAIRS,0,B - Protective Measures,11265.07,2024-02-14T01:13:47.000Z,106,729213 - Emergency Protective Measures,0,5af596bd-246d-4ecf-aa07-cad2c43f3e19
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Guam,SAINT PAUL CHRISTIAN SCHOOL,1,E - Public Buildings,78243.58,2024-02-14T01:16:23.000Z,128,730252 -  Saint Paul School Buildings,0,41c70675-186d-498c-99f3-b5ab9f91e2dc
9,4715,0,DR,Hurricane,2023-05-25T00:00:00.000Z,GU,Guam,Guam,OCEANIC ASCENT EDUCATION,1,G - Recreational or Other,8874.47,2024-02-14T01:15:49.000Z,103,"729339 - Oceanic Ascent Technology, Inc. - Tent and Raised Garden Damage",0,396a332f-abef-4b3f-9279-af21299f4acf
1,4719,0,DR,Flood,2023-07-06T00:00:00.000Z,ME,Maine,Waldo,BROOKS (TOWN OF),0,Z - State Management,1269.00,2024-02-09T22:04:51.000Z,82,737375 - Town of Brooks Management Costs,0,51028c41-a384-4faf-9bf8-c3a22960726b
7,4420,0,DR,Flood,2019-03-21T00:00:00.000Z,NE,Nebraska,Brown,BROWN (COUNTY),0,C - Roads and Bridges,-146617.96,2024-02-13T13:13:42.000Z,2019,103560 - Bridges - Fairfield & Camp Witness,3,8775c9f2-4102-4ca0-9296-ac12fa7df7fc
8,4718,0,DR,Flood,2023-07-06T00:00:00.000Z,SD,South Dakota,Codington,WATERTOWN,0,B - Protective Measures,64438.55,2024-02-12T13:35:56.000Z,152,739980 - City of Watertown Emergency Protective Measures,0,01d08ec2-9333-425a-ae74-c4c787d1fe9b
7,4665,0,DR,Flood,2022-08-08T00:00:00.000Z,MO,Missouri,St. Louis,AGAPE TIME MINISTRIES INCORPORATED,1,Z - State Management,9331.77,2024-02-13T15:42:43.000Z,200,688793 - Estimated management costs,0,3608d69e-1002-415e-8c9f-0f59886799e1
9,4716,0,DR,Tropical Storm,2023-06-02T00:00:00.000Z,MP,Northern Mariana Islands,Statewide,DEPT. OF HOMELAND SECURITY &  EMERGENCY MANAGEMENT,0,B - Protective Measures,53087.52,2024-02-10T00:10:57.000Z,20,732481 - HSEM EOC Costs,0,176a97f1-ef6e-44bd-8f07-9a649c3867e8
9,4716,0,DR,Tropical Storm,2023-06-02T00:00:00.000Z,MP,Northern Mariana Islands,Statewide,CNMI JUDICIARY,0,Z - State Management,1639.22,2024-02-10T00:11:47.000Z,21,743156 - CNMI Judicial Branch,0,2074eeb7-27df-4c30-b77f-0d746026356b
4,4697,0,DR,Severe Storm,2023-03-26T00:00:00.000Z,MS,Mississippi,Humphreys,SILVER CITY,0,E - Public Buildings,3037.91,2024-02-13T13:49:30.000Z,182,727521 - Silver City Town Hall Contents,0,a2dd73be-fc3c-49b5-b103-d5139675611b
4,4697,0,DR,Severe Storm,2023-03-26T00:00:00.000Z,MS,Mississippi,Humphreys,HUMPHREYS (COUNTY),0,E - Public Buildings,578260.67,2024-02-13T13:51:59.000Z,108,720035 - Humphreys County Fire Station -- Sliver City Fire Station,0,ee12e213-d71f-4a3c-ac6f-67e1283f5e1e
3,4618,0,DR,Hurricane,2021-09-10T00:00:00.000Z,PA,Pennsylvania,Montgomery,WEST NORRITON (TOWNSHIP OF),0,G - Recreational or Other,4693.50,2024-02-12T20:19:16.000Z,688,666842 - Jeffersonville Golf Club and Fencing Damages,0,77825614-d1c9-4913-a878-5e2cfa63cad0
3,4618,0,DR,Hurricane,2021-09-10T00:00:00.000Z,PA,Pennsylvania,Montgomery,LOWER PROVIDENCE SEWER AUTH,0,F - Public Utilities,251545.19,2024-02-12T20:19:32.000Z,710,672604 - Exposed Sanitary Sewage Pipes,0,1031ab68-6254-475c-802b-4e6be27a8cee
2,4671,0,DR,Hurricane,2022-09-21T00:00:00.000Z,PR,Puerto Rico,Dorado,DORADO (MUNICIPIO),0,C - Roads and Bridges,28649.75,2024-02-12T19:09:07.000Z,856,696716 - Municipal Roads Damages - Bo. Maguayo - Area 7,0,e602612b-411a-4a49-a9d6-50e5408b5678
